t,x1,y1,x2,y2,sep
451606.1206120612,0.009400940094009401,-40939569175479.56,-2421028596842.912,20469784587739.78,1210514298421.456,61516638671308.81
456410.4410441044,0.009500950095009501,-40938039763552.71,-2446753779681.241,20469019881776.355,1223376889840.6206,61516638671308.81
461214.76147614757,0.009600960096009602,-40936494186703.28,-2472477996386.711,20468247093351.64,1236238998193.3555,61516638671308.83
466019.0819081908,0.0097009700970097,-40934932445541.54,-2498201236801.775,20467466222770.77,1249100618400.8875,61516638671308.81
470823.402340234,0.0098009800980098,-40933354540684.19,-2523923490769.2754,20466677270342.094,1261961745384.6377,61516638671308.81
475627.7227722772,0.009900990099009901,-40931760472754.266,-2549644748132.442,20465880236377.133,1274822374066.221,61516638671308.8
480432.0432043204,0.010001000100010001,-40930150242381.21,-2575364998734.8984,20465075121190.605,1287682499367.4492,61516638671308.81
485236.36363636365,0.010101010101010102,-40928523850200.86,-2601084232420.6665,20464261925100.43,1300542116210.3333,61516638671308.81
490040.6840684068,0.0102010201020102,-40926881296855.4,-2626802439034.168,20463440648427.7,1313401219517.084,61516638671308.83
494845.00450045004,0.010301030103010303,-40925222582993.414,-2652519608420.233,20462611291496.707,1326259804210.1165,61516638671308.83
499649.3249324932,0.0104010401040104,-40923547709269.875,-2678235730424.097,20461773854634.938,1339117865212.0486,61516638671308.83
504453.64536453644,0.0105010501050105,-40921856676346.125,-2703950794891.414,20460928338173.062,1351975397445.707,61516638671308.81
509257.96579657967,0.010601060106010602,-40920149484889.89,-2729664791668.2524,20460074742444.945,1364832395834.1262,61516638671308.8
514062.28622862283,0.0107010701070107,-40918426135575.28,-2755377710601.101,20459213067787.64,1377688855300.5505,61516638671308.8
518866.60666066606,0.010801080108010801,-40916686629082.79,-2781089541536.8784,20458343314541.395,1390544770768.4392,61516638671308.83
523670.92709270923,0.0109010901090109,-40914930966099.266,-2806800274322.9307,20457465483049.633,1403400137161.4653,61516638671308.81
528475.2475247525,0.011001100110011002,-40913159147317.97,-2832509898807.0366,20456579573658.984,1416254949403.5183,61516638671308.83
533279.5679567957,0.0111011101110111,-40911371173438.52,-2858218404837.412,20455685586719.26,1429109202418.706,61516638671308.81
538083.8883888389,0.0112011201120112,-40909567045166.93,-2883925782262.718,20454783522583.465,1441962891131.359,61516638671308.81
542888.208820882,0.0113011301130113,-40907746763215.58,-2909632020932.057,20453873381607.79,1454816010466.0286,61516638671308.83
547692.5292529253,0.011401140114011402,-40905910328303.23,-2935337110694.985,20452955164151.613,1467668555347.4924,61516638671308.81
552496.8496849685,0.0115011501150115,-40904057741155.016,-2961041041401.507,20452028870577.508,1480520520700.7534,61516638671308.81
557301.1701170116,0.0116011601160116,-40902189002502.47,-2986743802902.0923,20451094501251.234,1493371901451.0461,61516638671308.81
562105.4905490549,0.011701170117011701,-40900304113083.47,-3012445385047.6655,20450152056541.734,1506222692523.8328,61516638671308.8
566909.8109810981,0.011801180118011801,-40898403073642.305,-3038145777689.6187,20449201536821.152,1519072888844.8093,61516638671308.83
571714.1314131413,0.0119011901190119,-40896485884929.62,-3063844970679.816,20448242942464.81,1531922485339.908,61516638671308.8
576518.4518451846,0.012001200120012002,-40894552547702.44,-3089542953870.5938,20447276273851.22,1544771476935.2969,61516638671308.81
581322.7722772277,0.0121012101210121,-40892603062724.17,-3115239717114.7646,20446301531362.086,1557619858557.3823,61516638671308.81
586127.0927092709,0.012201220122012201,-40890637430764.59,-3140935250265.624,20445318715382.297,1570467625132.812,61516638671308.81
590931.413141314,0.0123012301230123,-40888655652599.86,-3166629543176.954,20444327826299.93,1583314771588.477,61516638671308.81
595735.7335733573,0.012401240124012402,-40886657729012.51,-3192322585703.027,20443328864506.254,1596161292851.5134,61516638671308.83
