# Cooling curves for integrated and approximate forms of dust cooling, grain size, a = 1.000e+00
T,Lambda_int,h_e_int,H_el_int,Lambda_approx,h_e_approx,H_el_approx,Hcoll
6.237e+06,1.029e-07,1.000e+00,4.310e-04,1.029e-07,1.000e+00,4.310e-04,8.382e-06
6.918e+06,1.202e-07,1.000e+00,5.035e-04,1.202e-07,1.000e+00,5.035e-04,9.792e-06
7.674e+06,1.404e-07,1.000e+00,5.881e-04,1.404e-07,1.000e+00,5.881e-04,1.144e-05
8.511e+06,1.640e-07,1.000e+00,6.870e-04,1.640e-07,1.000e+00,6.870e-04,1.336e-05
9.441e+06,1.916e-07,1.000e+00,8.026e-04,1.916e-07,1.000e+00,8.026e-04,1.561e-05
1.047e+07,2.238e-07,1.000e+00,9.375e-04,2.238e-07,1.000e+00,9.375e-04,1.823e-05
1.161e+07,2.614e-07,1.000e+00,1.095e-03,2.614e-07,1.000e+00,1.095e-03,2.130e-05
1.288e+07,3.054e-07,1.000e+00,1.279e-03,3.054e-07,1.000e+00,1.279e-03,2.488e-05
1.429e+07,3.568e-07,1.000e+00,1.494e-03,3.568e-07,1.000e+00,1.494e-03,2.906e-05
1.585e+07,4.167e-07,1.000e+00,1.746e-03,4.167e-07,1.000e+00,1.746e-03,3.395e-05
1.758e+07,4.868e-07,1.000e+00,2.039e-03,4.868e-07,1.000e+00,2.039e-03,3.966e-05
1.950e+07,5.687e-07,1.000e+00,2.382e-03,5.687e-07,1.000e+00,2.382e-03,4.633e-05
2.163e+07,6.643e-07,9.999e-01,2.783e-03,6.643e-07,1.000e+00,2.783e-03,5.412e-05
2.399e+07,7.758e-07,9.997e-01,3.250e-03,7.760e-07,1.000e+00,3.251e-03,6.322e-05
2.661e+07,9.059e-07,9.993e-01,3.795e-03,9.065e-07,1.000e+00,3.797e-03,7.385e-05
2.951e+07,1.057e-06,9.984e-01,4.429e-03,1.059e-06,1.000e+00,4.436e-03,8.627e-05
3.273e+07,1.233e-06,9.965e-01,5.164e-03,1.237e-06,1.000e+00,5.182e-03,1.008e-04
3.631e+07,1.435e-06,9.931e-01,6.011e-03,1.445e-06,1.000e+00,6.053e-03,1.177e-04
4.027e+07,1.667e-06,9.873e-01,6.981e-03,1.688e-06,1.000e+00,7.071e-03,1.375e-04
4.467e+07,1.930e-06,9.781e-01,8.080e-03,1.972e-06,1.000e+00,8.260e-03,1.606e-04
4.955e+07,2.224e-06,9.647e-01,9.309e-03,2.303e-06,1.000e+00,9.649e-03,1.877e-04
5.495e+07,2.549e-06,9.462e-01,1.066e-02,2.691e-06,1.000e+00,1.127e-02,2.192e-04
6.095e+07,2.902e-06,9.218e-01,1.214e-02,2.910e-06,9.243e-01,1.217e-02,2.561e-04
6.761e+07,3.280e-06,8.913e-01,1.371e-02,3.192e-06,8.668e-01,1.333e-02,2.991e-04
7.499e+07,3.678e-06,8.548e-01,1.536e-02,3.502e-06,8.128e-01,1.460e-02,3.494e-04
8.318e+07,4.090e-06,8.127e-01,1.706e-02,3.842e-06,7.623e-01,1.600e-02,4.082e-04
9.226e+07,4.509e-06,7.660e-01,1.878e-02,4.216e-06,7.148e-01,1.753e-02,4.768e-04
1.023e+08,4.929e-06,7.155e-01,2.049e-02,4.626e-06,6.704e-01,1.920e-02,5.570e-04
1.135e+08,5.344e-06,6.626e-01,2.217e-02,5.077e-06,6.287e-01,2.103e-02,6.506e-04
1.259e+08,5.747e-06,6.086e-01,2.378e-02,5.573e-06,5.895e-01,2.304e-02,7.600e-04
1.396e+08,6.136e-06,5.545e-01,2.532e-02,6.118e-06,5.529e-01,2.524e-02,8.878e-04
1.549e+08,6.506e-06,5.015e-01,2.675e-02,6.717e-06,5.185e-01,2.765e-02,1.037e-03
1.718e+08,6.855e-06,4.505e-01,2.806e-02,7.376e-06,4.862e-01,3.029e-02,1.211e-03
1.905e+08,7.183e-06,4.021e-01,2.926e-02,7.957e-06,4.475e-01,3.257e-02,1.413e-03
2.113e+08,7.490e-06,3.568e-01,3.034e-02,8.012e-06,3.831e-01,3.257e-02,1.648e-03
2.344e+08,7.776e-06,3.151e-01,3.129e-02,8.076e-06,3.280e-01,3.257e-02,1.920e-03
2.600e+08,8.045e-06,2.769e-01,3.212e-02,8.149e-06,2.808e-01,3.257e-02,2.232e-03
2.884e+08,8.298e-06,2.424e-01,3.285e-02,8.233e-06,2.403e-01,3.257e-02,2.589e-03
3.199e+08,8.537e-06,2.114e-01,3.346e-02,8.328e-06,2.057e-01,3.257e-02,2.994e-03
3.548e+08,8.766e-06,1.838e-01,3.399e-02,8.434e-06,1.761e-01,3.257e-02,3.449e-03
3.936e+08,8.987e-06,1.594e-01,3.443e-02,8.552e-06,1.508e-01,3.257e-02,3.955e-03
4.365e+08,9.202e-06,1.379e-01,3.479e-02,8.683e-06,1.291e-01,3.257e-02,4.511e-03
4.842e+08,9.413e-06,1.190e-01,3.508e-02,8.825e-06,1.105e-01,3.257e-02,5.119e-03
5.370e+08,9.622e-06,1.026e-01,3.532e-02,8.979e-06,9.458e-02,3.257e-02,5.775e-03
5.957e+08,9.830e-06,8.826e-02,3.550e-02,9.143e-06,8.097e-02,3.257e-02,6.477e-03
6.607e+08,1.004e-05,7.586e-02,3.564e-02,9.318e-06,6.931e-02,3.257e-02,7.222e-03
7.328e+08,1.025e-05,6.513e-02,3.575e-02,9.501e-06,5.934e-02,3.257e-02,8.007e-03
8.128e+08,1.046e-05,5.587e-02,3.582e-02,9.694e-06,5.079e-02,3.257e-02,8.829e-03
9.016e+08,1.067e-05,4.790e-02,3.588e-02,9.894e-06,4.348e-02,3.257e-02,9.685e-03
1.000e+09,1.088e-05,4.104e-02,3.590e-02,1.010e-05,3.722e-02,3.257e-02,1.057e-02
