# Cooling curves for integrated and approximate forms of dust cooling, grain size, a = 1.000e-01
T,Lambda_int,h_e_int,H_el_int,Lambda_approx,h_e_approx,H_el_approx,Hcoll
1.660e+05,4.465e-12,1.000e+00,1.871e-08,4.465e-12,1.000e+00,1.871e-08,3.638e-10
1.841e+05,5.216e-12,1.000e+00,2.185e-08,5.216e-12,1.000e+00,2.185e-08,4.250e-10
2.042e+05,6.094e-12,1.000e+00,2.553e-08,6.094e-12,1.000e+00,2.553e-08,4.964e-10
2.265e+05,7.118e-12,1.000e+00,2.982e-08,7.118e-12,1.000e+00,2.982e-08,5.799e-10
2.512e+05,8.315e-12,1.000e+00,3.483e-08,8.315e-12,1.000e+00,3.483e-08,6.774e-10
2.786e+05,9.713e-12,1.000e+00,4.069e-08,9.713e-12,1.000e+00,4.069e-08,7.913e-10
3.090e+05,1.135e-11,1.000e+00,4.753e-08,1.135e-11,1.000e+00,4.753e-08,9.244e-10
3.428e+05,1.325e-11,1.000e+00,5.552e-08,1.325e-11,1.000e+00,5.552e-08,1.080e-09
3.802e+05,1.548e-11,1.000e+00,6.486e-08,1.548e-11,1.000e+00,6.486e-08,1.261e-09
4.217e+05,1.809e-11,1.000e+00,7.577e-08,1.809e-11,1.000e+00,7.577e-08,1.474e-09
4.677e+05,2.113e-11,1.000e+00,8.851e-08,2.113e-11,1.000e+00,8.851e-08,1.721e-09
5.188e+05,2.468e-11,1.000e+00,1.034e-07,2.468e-11,1.000e+00,1.034e-07,2.011e-09
5.754e+05,2.883e-11,1.000e+00,1.208e-07,2.883e-11,1.000e+00,1.208e-07,2.349e-09
6.383e+05,3.368e-11,1.000e+00,1.411e-07,3.368e-11,1.000e+00,1.411e-07,2.744e-09
7.079e+05,3.934e-11,1.000e+00,1.648e-07,3.934e-11,1.000e+00,1.648e-07,3.205e-09
7.852e+05,4.596e-11,1.000e+00,1.925e-07,4.596e-11,1.000e+00,1.925e-07,3.744e-09
8.710e+05,5.369e-11,1.000e+00,2.249e-07,5.369e-11,1.000e+00,2.249e-07,4.374e-09
9.661e+05,6.271e-11,1.000e+00,2.627e-07,6.271e-11,1.000e+00,2.627e-07,5.109e-09
1.072e+06,7.326e-11,1.000e+00,3.069e-07,7.326e-11,1.000e+00,3.069e-07,5.968e-09
1.189e+06,8.558e-11,1.000e+00,3.585e-07,8.558e-11,1.000e+00,3.585e-07,6.972e-09
1.318e+06,9.997e-11,1.000e+00,4.188e-07,9.997e-11,1.000e+00,4.188e-07,8.144e-09
1.462e+06,1.168e-10,1.000e+00,4.892e-07,1.168e-10,1.000e+00,4.892e-07,9.514e-09
1.622e+06,1.364e-10,1.000e+00,5.715e-07,1.364e-10,1.000e+00,5.715e-07,1.111e-08
1.799e+06,1.594e-10,1.000e+00,6.675e-07,1.594e-10,1.000e+00,6.675e-07,1.298e-08
1.995e+06,1.862e-10,1.000e+00,7.798e-07,1.862e-10,1.000e+00,7.798e-07,1.517e-08
2.213e+06,2.175e-10,1.000e+00,9.109e-07,2.175e-10,1.000e+00,9.109e-07,1.772e-08
2.455e+06,2.540e-10,1.000e+00,1.064e-06,2.540e-10,1.000e+00,1.064e-06,2.069e-08
2.723e+06,2.967e-10,1.000e+00,1.243e-06,2.967e-10,1.000e+00,1.243e-06,2.417e-08
3.020e+06,3.466e-10,1.000e+00,1.452e-06,3.466e-10,1.000e+00,1.452e-06,2.824e-08
3.350e+06,4.049e-10,1.000e+00,1.696e-06,4.049e-10,1.000e+00,1.696e-06,3.299e-08
3.715e+06,4.730e-10,1.000e+00,1.981e-06,4.730e-10,1.000e+00,1.981e-06,3.853e-08
4.121e+06,5.525e-10,1.000e+00,2.315e-06,5.525e-10,1.000e+00,2.315e-06,4.501e-08
4.571e+06,6.454e-10,9.999e-01,2.704e-06,6.455e-10,1.000e+00,2.704e-06,5.258e-08
5.070e+06,7.538e-10,9.998e-01,3.158e-06,7.540e-10,1.000e+00,3.159e-06,6.143e-08
5.623e+06,8.803e-10,9.994e-01,3.688e-06,8.808e-10,1.000e+00,3.690e-06,7.175e-08
6.237e+06,1.027e-09,9.986e-01,4.304e-06,1.029e-09,1.000e+00,4.310e-06,8.382e-08
6.918e+06,1.198e-09,9.970e-01,5.020e-06,1.202e-09,1.000e+00,5.035e-06,9.792e-08
7.674e+06,1.396e-09,9.939e-01,5.845e-06,1.404e-09,1.000e+00,5.881e-06,1.144e-07
8.511e+06,1.622e-09,9.886e-01,6.792e-06,1.640e-09,1.000e+00,6.870e-06,1.336e-07
9.441e+06,1.879e-09,9.801e-01,7.866e-06,1.916e-09,1.000e+00,8.026e-06,1.561e-07
1.047e+07,2.167e-09,9.676e-01,9.071e-06,2.238e-09,1.000e+00,9.375e-06,1.823e-07
1.161e+07,2.486e-09,9.500e-01,1.040e-05,2.614e-09,1.000e+00,1.095e-05,2.130e-07
1.288e+07,2.835e-09,9.268e-01,1.186e-05,2.860e-09,9.354e-01,1.197e-05,2.488e-07
1.429e+07,3.209e-09,8.974e-01,1.341e-05,3.138e-09,8.772e-01,1.311e-05,2.906e-07
1.585e+07,3.603e-09,8.620e-01,1.505e-05,3.442e-09,8.226e-01,1.436e-05,3.394e-07
